ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7452841,HS254353,04/12/2010 04:00:00 PM,061XX S KENWOOD AVE,0460,BATTERY,SIMPLE,STREET,false,false,0314,003,20,42,08B,1186129,1864575,2010,02/10/2018 03:50:01 PM,41.783522021,-87.593125671,"(41.783522021, -87.593125671)"
7431376,HS233440,03/27/2010 09:15:00 PM,016XX E 53RD ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,2132,002,5,41,08A,1187964,1870443,2010,02/10/2018 03:50:01 PM,41.799580705,-87.586211061,"(41.799580705, -87.586211061)"
7373343,HS175688,02/22/2010 08:45:00 AM,061XX S COTTAGE GROVE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0313,003,20,42,04B,1182622,1864384,2010,02/10/2018 03:50:01 PM,41.783080026,-87.60598932,"(41.783080026, -87.60598932)"
7389559,HS191366,03/03/2010 03:00:00 PM,051XX S LAKE PARK AVE,0560,ASSAULT,SIMPLE,STREET,false,false,2132,002,4,41,08A,1187536,1871363,2010,02/10/2018 03:50:01 PM,41.802115448,-87.58775136,"(41.802115448, -87.58775136)"
7376222,HS178454,02/23/2010 10:30:00 PM,011XX E 52ND ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,true,false,2124,002,4,41,04A,1184428,1870892,2010,02/10/2018 03:50:01 PM,41.800896402,-87.599164262,"(41.800896402, -87.599164262)"
7460621,HS262362,04/17/2010 01:00:00 PM,016XX E 53RD ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2132,002,4,41,08B,1187964,1870443,2010,02/10/2018 03:50:01 PM,41.799580705,-87.586211061,"(41.799580705, -87.586211061)"
7410410,HS213148,03/17/2010 11:00:00 PM,013XX E 56TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,2133,002,5,41,04B,1186282,1868146,2010,02/10/2018 03:50:01 PM,41.793317515,-87.592451906,"(41.793317515, -87.592451906)"
7354840,HS156302,02/04/2010 03:55:00 PM,053XX S INGLESIDE AVE,0460,BATTERY,SIMPLE,STREET,false,false,2131,002,4,41,08B,1183441,1870042,2010,02/10/2018 03:50:01 PM,41.79858701,-87.602810372,"(41.79858701, -87.602810372)"
7462960,HS264851,04/19/2010 08:00:00 AM,050XX S BLACKSTONE AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,2124,002,4,39,03,1186776,1871835,2010,02/10/2018 03:50:01 PM,41.803428707,-87.590523588,"(41.803428707, -87.590523588)"
7403611,HS195508,03/07/2010 07:00:00 AM,061XX S UNIVERSITY AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,true,false,0314,003,20,42,03,1184829,1864524,2010,10/24/2018 04:13:41 PM,41.783412684,-87.597893458,"(41.783412684, -87.597893458)"
7433107,HS234883,03/31/2010 04:02:00 PM,011XX E 62ND ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0314,003,20,42,04B,1184582,1864121,2010,02/10/2018 03:50:01 PM,41.78231261,-87.598811654,"(41.78231261, -87.598811654)"
7326979,HS130475,01/21/2010 12:20:00 PM,012XX E 53RD ST,0558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,SIDEWALK,true,false,2131,002,4,41,04A,1185293,1870377,2010,02/10/2018 03:50:01 PM,41.799462885,-87.596008257,"(41.799462885, -87.596008257)"
7459665,HS261037,04/16/2010 03:58:00 PM,012XX E MADISON AVENUE PARK,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2124,002,4,39,08B,1185111,1871681,2010,02/10/2018 03:50:01 PM,41.803045442,-87.596634703,"(41.803045442, -87.596634703)"
7355194,HS156968,02/08/2010 04:55:00 PM,050XX S DREXEL BLVD,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,2124,002,4,39,04A,1183163,1871886,2010,02/10/2018 03:50:01 PM,41.803653573,-87.603772447,"(41.803653573, -87.603772447)"
7455842,HS256730,04/14/2010 09:20:00 AM,061XX S STONY ISLAND AVE,0560,ASSAULT,SIMPLE,PARK PROPERTY,true,false,0314,003,5,42,08A,1187928,1864552,2010,02/10/2018 03:50:01 PM,41.78341622,-87.586530744,"(41.78341622, -87.586530744)"
7412008,HS214500,03/18/2010 07:50:00 PM,061XX S KIMBARK AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0314,003,20,42,08B,1185698,1864490,2010,02/10/2018 03:50:01 PM,41.783298944,-87.594708522,"(41.783298944, -87.594708522)"
7310709,HS115420,01/11/2010 03:45:00 PM,053XX S LAKE PARK AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2132,002,4,41,08B,1187676,1870301,2010,02/10/2018 03:50:01 PM,41.799197912,-87.587271736,"(41.799197912, -87.587271736)"
7389979,HS192026,03/04/2010 10:20:00 AM,061XX S COTTAGE GROVE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,0313,003,20,42,04A,1182618,1864567,2010,02/10/2018 03:50:01 PM,41.783582287,-87.60599831,"(41.783582287, -87.60599831)"
7400553,HS202143,03/11/2010 09:15:00 AM,061XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0313,003,20,42,08A,1182619,1864486,2010,02/10/2018 03:50:01 PM,41.783359993,-87.605997156,"(41.783359993, -87.605997156)"
7366609,HS165815,02/15/2010 10:00:00 AM,053XX S HYDE PARK BLVD,0330,ROBBERY,AGGRAVATED,STREET,false,false,2132,002,5,41,03,1188555,1870327,2010,02/10/2018 03:50:01 PM,41.799248277,-87.584047451,"(41.799248277, -87.584047451)"
7468421,HS261988,04/15/2010 10:40:00 PM,055XX S ELLIS AVE,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,2133,002,5,41,08A,1183847,1868501,2010,02/10/2018 03:50:01 PM,41.794348902,-87.601369623,"(41.794348902, -87.601369623)"
7307422,HS111444,01/08/2010 08:00:00 PM,057XX S WOODLAWN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,true,false,2133,002,5,41,03,1185200,1867269,2010,02/10/2018 03:50:01 PM,41.790936476,-87.596447009,"(41.790936476, -87.596447009)"
7461109,HS263070,04/17/2010 08:45:00 PM,054XX S RIDGEWOOD CT,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,false,false,2131,002,4,41,03,1186228,1869648,2010,02/10/2018 03:50:01 PM,41.797440395,-87.592602458,"(41.797440395, -87.592602458)"
7329086,HS132525,01/22/2010 05:30:00 PM,011XX E 53RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2131,002,4,41,03,1184382,1870356,2010,02/10/2018 03:50:01 PM,41.799426654,-87.599349742,"(41.799426654, -87.599349742)"
7321550,HS126744,01/18/2010 11:54:00 PM,060XX S STONY ISLAND AVE,0460,BATTERY,SIMPLE,CTA BUS,true,false,0331,003,5,42,08B,1187908,1865335,2010,02/10/2018 03:50:01 PM,41.78556531,-87.586579138,"(41.78556531, -87.586579138)"
7379474,HS180604,02/24/2010 07:00:00 PM,055XX S LAKE PARK AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,2132,002,5,41,03,1187594,1868671,2010,02/10/2018 03:50:01 PM,41.794727026,-87.587624299,"(41.794727026, -87.587624299)"
7301161,HS104856,01/04/2010 04:55:00 PM,061XX S DORCHESTER AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,0314,003,20,42,03,1186600,1864394,2010,02/10/2018 03:50:01 PM,41.783014203,-87.591404572,"(41.783014203, -87.591404572)"
7330994,HS135325,01/24/2010 03:42:00 PM,061XX S COTTAGE GROVE AVE,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,0313,003,20,42,08A,1182619,1864513,2010,02/10/2018 03:50:01 PM,41.783434083,-87.605996318,"(41.783434083, -87.605996318)"
7356574,HS158353,02/05/2010 04:35:00 PM,061XX S COTTAGE GROVE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,0313,003,20,42,04A,1182617,1864574,2010,02/10/2018 03:50:01 PM,41.783601519,-87.606001759,"(41.783601519, -87.606001759)"
7368302,HS170541,02/17/2010 08:30:00 PM,054XX S CORNELL AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,2132,002,5,41,03,1188172,1869776,2010,02/10/2018 03:50:01 PM,41.797745447,-87.585469563,"(41.797745447, -87.585469563)"
7290353,HR707609,12/27/2009 02:55:00 PM,053XX S CORNELL AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,2132,002,5,41,03,1188157,1870288,2009,02/10/2018 03:50:01 PM,41.799150769,-87.585508235,"(41.799150769, -87.585508235)"
7472386,HS270817,04/22/2010 05:10:00 PM,052XX S HARPER AVE,0460,BATTERY,SIMPLE,STREET,false,false,2132,002,4,41,08B,1187166,1870931,2010,02/10/2018 03:50:01 PM,41.800938808,-87.589121997,"(41.800938808, -87.589121997)"
7351573,HS152890,02/05/2010 06:00:00 PM,013XX E 62ND ST,0330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,0314,003,20,42,03,1185940,1864152,2010,02/10/2018 03:50:01 PM,41.782365736,-87.593831938,"(41.782365736, -87.593831938)"
7458100,HS259176,04/15/2010 03:00:00 PM,061XX S KIMBARK AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0314,003,20,42,03,1185694,1864646,2010,02/10/2018 03:50:01 PM,41.783727116,-87.594718274,"(41.783727116, -87.594718274)"
7461107,HS263063,04/17/2010 09:36:00 PM,013XX E 58TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2133,002,5,41,03,1185900,1866806,2010,02/10/2018 03:50:01 PM,41.789649474,-87.593894907,"(41.789649474, -87.593894907)"
7331014,HS135299,01/24/2010 03:33:00 PM,061XX S COTTAGE GROVE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,0313,003,20,42,04B,1182619,1864513,2010,02/10/2018 03:50:01 PM,41.783434083,-87.605996318,"(41.783434083, -87.605996318)"
7434846,HS236469,04/01/2010 02:47:00 PM,060XX S COTTAGE GROVE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,0313,003,20,42,04B,1182604,1865128,2010,02/10/2018 03:50:01 PM,41.785122047,-87.60603224,"(41.785122047, -87.60603224)"
